SHA256_ORIGINAL,SHA256_REPACKAGE,Jaccard_Similarity,Repackaged_Apps_Have_More,Difference,Sensor_Used_ORIGINAL,Sensor_Used_REPACKAGED
3DCCC2356E43A61EBB84026EE6405321B9DBC2621CB419A7915412688EC49B66,1CEB63CFFEA79E494ADE410853207BFF0F841A0439A0A9942261A9BC69109C69,0.0,1.0,"[1,3]",[],"[1, 3]"
3DCCC2356E43A61EBB84026EE6405321B9DBC2621CB419A7915412688EC49B66,C8B2757E43AAE6CB747A53A928306F37FEDBF74BB187874E5B4B41A90CCD2BB9,0.0,1.0,[3],[],[3]
3DF9C1AC995C4EB38B8510C82BBB82F130CF255E024A1D7852B1DAD368003540,3319D3058BD9E66F50F907D8E201898658C864E48D93BCAE685594D85C7B8D99,0.0,1.0,[1],[],[1]
3DF9C1AC995C4EB38B8510C82BBB82F130CF255E024A1D7852B1DAD368003540,ACAB940C35FE9D721AFAA1B82FCB2DD3D69E8400321553898031CE5B1C875735,0.0,1.0,[3],[],[3]
3E10931085AFFF8B125B312CC566EE1EAE8BBDD0C70843BEF6632F1A82666357,3CC17A26C45E7D3C2879E910738427277242F8C1C8709520D16A18123EEE1906,0.0,0.0,[3],[3],[]
3E10931085AFFF8B125B312CC566EE1EAE8BBDD0C70843BEF6632F1A82666357,55A4782254D164BD6377B30502BAFFBFEE7A692C86B77414ACD3CE5616ECB665,0.0,0.0,[3],[3],[]
3E10931085AFFF8B125B312CC566EE1EAE8BBDD0C70843BEF6632F1A82666357,590E9FDA7ADE2BF6CDDCA9E219430BF6A57E487AD0C6A1DBD36A4B93760CCB85,0.0,0.0,[3],[3],[]
3E10931085AFFF8B125B312CC566EE1EAE8BBDD0C70843BEF6632F1A82666357,67A3EC9797598ACED131FE10A18E676BEEDDF2287549E618F02E13890532F637,0.0,0.0,[3],[3],[]
3E10931085AFFF8B125B312CC566EE1EAE8BBDD0C70843BEF6632F1A82666357,AB437631FC2AD7921861D5F2AED764B3FCEFF851D012951CB6B96F61021D7C24,0.0,0.0,[3],[3],[]
3E10931085AFFF8B125B312CC566EE1EAE8BBDD0C70843BEF6632F1A82666357,DB833859F50E74E750AF434DB99E527BA30BF198140608E76E1CA96A71CED7B9,0.0,0.0,[3],[3],[]
3E46FF4577972D73C0B584F936026D36231370D4E4D7B1BA5E9BBFD72BAAA15C,712C8839120FC30EAA720EE764EDCFD46A0F0032A81BD032BF5A56190A41EB68,1.0,0.0,[],[3],[3]
3E4EE843CFAF32C75292D96FE316E01AC68943861339D0D8DC7F91C58D4E8FA6,0E801AD208C22C90F13ADBEA92927F82E2D141C165F0A7715BEDCEBD0E6B0ACA,0.0,1.0,[1],[],[1]
3E63377F6E2EFA5CAB83199C1D6EF791BF0A733EFE4FFC345BF9775DEC24C614,176119DB7C9D1BB9190CD28D978850EF039A18590A2CD9923CF04A776C0C68DE,0.0,1.0,[1],[],[1]
3E63377F6E2EFA5CAB83199C1D6EF791BF0A733EFE4FFC345BF9775DEC24C614,20A0F808AF9879964FFB851CB6E2F67F29BE88D9681B26A38C0C3855355D402E,0.0,1.0,[3],[],[3]
3E63377F6E2EFA5CAB83199C1D6EF791BF0A733EFE4FFC345BF9775DEC24C614,2CA4565AFE0FF00AF55410D2479B7BEA58917A03632323B88D18219F6ABB1F8A,0.0,1.0,[1],[],[1]
3E63377F6E2EFA5CAB83199C1D6EF791BF0A733EFE4FFC345BF9775DEC24C614,3AEC457B4C0C4E9446149678269F3A40FFE42E74CC12685E2F093A7703540A86,0.0,1.0,[1],[],[1]
3E63377F6E2EFA5CAB83199C1D6EF791BF0A733EFE4FFC345BF9775DEC24C614,6EAEBCE92E643B6D2497447668EFFB06671CF8EF2384370853104434D9BA0B62,0.0,1.0,[1],[],[1]
3E63377F6E2EFA5CAB83199C1D6EF791BF0A733EFE4FFC345BF9775DEC24C614,B3BD565CFC55D94D5C426131F3461C0F6AAD38744B6120B061109326AB61D629,0.0,1.0,"[1,3]",[],"[1, 3]"
3E63377F6E2EFA5CAB83199C1D6EF791BF0A733EFE4FFC345BF9775DEC24C614,CA6B9106BA3E44CC3F24EE6924260DAE1C27C538C48F159D73999B5566617E39,0.0,1.0,[3],[],[3]
3E63377F6E2EFA5CAB83199C1D6EF791BF0A733EFE4FFC345BF9775DEC24C614,D6703DE8D5528CD6307DBB6347D125A1401AF20E4F5DD30BCEC8C84C30389B3D,0.0,1.0,[1],[],[1]
3E63377F6E2EFA5CAB83199C1D6EF791BF0A733EFE4FFC345BF9775DEC24C614,DD35E764E29CDA151E540DA773B45DB45DEB568A479C025FDADBDADDE9CD3581,0.0,1.0,[1],[],[1]
3E63377F6E2EFA5CAB83199C1D6EF791BF0A733EFE4FFC345BF9775DEC24C614,EBDDB0BD7BF8610DCF5A56A4F9954F35AFB86863E1968D5C24AA761FEDEF4D5F,0.0,1.0,[3],[],[3]
3ED8AD95BA4591FA08355262DDB1BCC0F9F3A399A2DD22D1CE2B90E28A4E3C93,010C070CAD502077653BA79B75BD646745C0C6AFC5520BEAEF9EB7F0B3721A07,0.0,0.0,[3],[3],[]
3F052C43616071711942D7103DFFA34ECC3BFCC5A46D0F93B00249E2822A8192,4EFA7F0920CC6CCB9CBD87CDC3ADDCA2E4B8C814E47ECBEE2B6E838161E5041A,0.0,0.0,[3],[3],[]
3F052C43616071711942D7103DFFA34ECC3BFCC5A46D0F93B00249E2822A8192,586F886B52FDB098B91E45CDA21A767F5F880B953FEC16F769052C1D5494B393,0.0,0.0,[3],[3],[]
3F052C43616071711942D7103DFFA34ECC3BFCC5A46D0F93B00249E2822A8192,6687094E4E93F7FFFA0C89933D75650262698FE1AE56188F70B87BB80B1E610C,0.0,0.0,[3],[3],[]
3F052C43616071711942D7103DFFA34ECC3BFCC5A46D0F93B00249E2822A8192,78F98CEAC4FA49794083E19107A7D65B1CB1459508BB62A61FC7BABF54559853,0.0,0.0,[3],[3],[]
3F052C43616071711942D7103DFFA34ECC3BFCC5A46D0F93B00249E2822A8192,919AA2FB32E1BD1882EC08963D1F9186D05C73CB15F3273DE18454525405C083,0.0,0.0,[3],[3],[]
3F052C43616071711942D7103DFFA34ECC3BFCC5A46D0F93B00249E2822A8192,9C3938723B512A7A4A74394DA076759FB4F1A38BCA4A7B0AE15EEC874B18D358,1.0,0.0,[],[3],[3]
3F052C43616071711942D7103DFFA34ECC3BFCC5A46D0F93B00249E2822A8192,E39A9A9D4F9D6D4B3DBA2F86FD8714BF69C0BB2CA652D405C92F41E0772D17A6,0.0,0.0,"[1,3]",[3],[1]
3F052C43616071711942D7103DFFA34ECC3BFCC5A46D0F93B00249E2822A8192,E6F6220A8E939BED8A113F4A2B2A4F79ADC40D2178993D86B87F3B0756E72464,0.0,0.0,[3],[3],[]
3F052C43616071711942D7103DFFA34ECC3BFCC5A46D0F93B00249E2822A8192,EB3367ECAA44C1395E041B9F915F9D0158197C1058B1D73646EC602E2A1BE45B,0.0,0.0,[3],[3],[]
3F052C43616071711942D7103DFFA34ECC3BFCC5A46D0F93B00249E2822A8192,F2106E8C5E2BA0C9E2F8AE24BC3C6F2BE368F1B6B23DD36C4D66E658F15F3B9E,0.0,0.0,[3],[3],[]
3FA37D07A9A560ABBF1D1BEF7C23FC9CDDB5E26C981C6718B2BEFC5990E93891,456F88400B0D3F6E41D40E039A5A634AB40A76284BB9EBABA436D5EA1542F99A,0.0,0.0,[3],[3],[]
3FD3C441B980F80DD5BABBCA5B653AC837C50653F957F2069209ADAA6E62E1FA,A47220681F5726285654D1158CE303B0DCD5137C91FF5809476F1230EE8E0649,0.0,0.0,[1],[1],[]
404942EC219AA52BA9B2D6E466035DA7603A62EC3F016B1992BF2621198A2500,9C0023FD0247E98ABEBB98D172CA5F26880F187D322BC541B97A9B2D9412E3FF,0.0,1.0,"[1,2]",[],"[1, 2]"
404BF1173C84EF2915F6F09094062CCDDCD230B4D699670E319B5A5C1FAD1637,7161AC65DC2A5C7914688D702F2C175E5A9ED4132E2ED4BB59AA263FD0339DE6,0.0,0.0,"[1,3]",[3],[1]
4051ECCE2890EC86BEED4DA119688227A9EEE198CEAD99F6C279BB49B6F7BA2F,3D1EB0D568290B21027A5DBCFA5E2618AC94475C99E50FCF1FD1AEC185BB1B47,0.0,0.0,[3],[3],[]
405E511779FCDDC9A6E768AE67535C5AE0EBA2AD11AA5E9191AA05A96049B060,43FF2684F18456AFA756C8940230411126867EE178BB84FA3A9669F8B03630A1,0.0,0.0,[3],[3],[]
4062EC2F92A45DE2E78555F5BE817EB6222861D027A289D63E2082476A0C7D94,4B321782FAD50CC71D1DBF063FD94C4EAC06012049C74436113E7AC318DB8577,0.0,1.0,[3],[],[3]
4062EC2F92A45DE2E78555F5BE817EB6222861D027A289D63E2082476A0C7D94,6E3AEFCE1D9B010C65020103983E33CD540BDC2029B3F8381D25B902817A2B02,0.0,1.0,[3],[],[3]
4062EC2F92A45DE2E78555F5BE817EB6222861D027A289D63E2082476A0C7D94,ABF9FD1AADE9F1983BC818680BBFB3E03D0143600602EBDA9EDBE1057A132553,0.0,1.0,[3],[],[3]
40ABC88F19124F70E7E108534F0B08A2C14A63F36647C866B3EB5C00BAD37D9C,3C0C213F98E90EFE538535AFD700E7FD08FD117BACF92A3F8B825C644CF7595C,0.0,1.0,[1],[],[1]
40ABC88F19124F70E7E108534F0B08A2C14A63F36647C866B3EB5C00BAD37D9C,E532932941210130143ABD36276F07538AE14375BB6E2DE9CE633196D6E47BEC,0.0,1.0,[3],[],[3]
412CDD55B380D70B7B4C23C24047A836E638A2AA5DE3E92ACA7DCC0A5C07CD5F,1815C45B1A5AC79EE8E33084EA3CB2B810C6B734B56D3C28F1B877344DFCC82F,0.0,0.0,"[1,2]","[1, 2]",[]
414823039042F7238B69D9B419B9387DE8522D75D48A8E1423662551D16A7E26,2B0F462E8DD86A742FA79456ABECBDADFF2F65C00EB152D5D9CD2804826F9CFB,0.0,1.0,"[1,9,4,10,2,11]",[],"[1, 9, 4, 10, 2, 11]"
41585E97B366069F4C87786AFE6EE06109ED52279EC113FC531C261BDD67139B,659BF733F49DE6C565C17AEB44C204E6A26546F06EDD45ED696741C2359C5CB7,0.0,1.0,[1],[],[1]
41F3C70676FA95DCA5B6422ECC5CC1EDB6D032BA8BA2003B8BFA79D307275194,3AAB46CF3CEF4C8D36F3AF91C3C73158ED5A074174EDACC345B5C21D5DAC7475,0.0,0.0,[3],[3],[]
41F3C70676FA95DCA5B6422ECC5CC1EDB6D032BA8BA2003B8BFA79D307275194,5383527DC523DDAD3012280DBBF7B1A2AC06EDEA7516EABD116F7E69094489CD,0.0,0.0,[3],[3],[]
420F9DEC187F2ADF0FA0BDA4A9DC0ECA423F72E104F7039FF4C1B30CD391CF51,CBC40C041E25AE2BC60CD1E7B97AD141E4D04EFC323BA2FB0119208B03643CD9,0.0,1.0,[3],[],[3]
4217A11DB8D7624A42D84672738754AFE55851030776756DF444C3CF639B0F0F,4C62CFA62AE863105E1C287E3930E56C505FB897299C0E4C4C8DF6AAC42404AF,0.0,1.0,[3],[],[3]
425C876075FBEC416DB4605A915DFE0BBF7CF95DBEF4433A4D7F74B5B919302B,E7382862918252C0AF5EA8808CFA48F2FB5B4002D6C6B9C2898CDC9B3630C2BD,0.0,0.0,[1],[1],[]
42ECB1FA640A37833FF7171004A94C9C6648096BC843327A505FA53A2BDF87C2,8C2EC529D52F2353D2E8271D08256E697572F22C7FE543007D21DE8EC2FA5990,1.0,0.0,[],[1],[1]
4357A4B47C7173D4E97FCC2BE7DF30F25677F74380CFE6404C7C3933497CEB72,DE97C2133CD114D285D01D369FFDF18DB8B59E292A834E419C700AAC345805F4,0.0,1.0,"[1,2]",[],"[1, 2]"
43827BAC3A2E4E42CB9159B5647D11C447C313F49A2AEA306DF1AE4AE5F79A51,23302AC705A194C87AF981CCB9AB6AFDED055DFE3B2C7B3C00252A76FAE64671,0.0,0.0,[1],[1],[]
4392E15A9DE27A197548A5B64F060FAB9CF1A0D584F84EAB8A2D92014B776359,BC6959E48A2B5187856A8E20BC174649855D17B577E9E50424B247F203646585,0.0,0.0,[3],[3],[]
