SHA256_ORIGINAL,SHA256_REPACKAGE,Jaccard_Similarity,Repackaged_Apps_Have_More,Difference,Sensor_Used_ORIGINAL,Sensor_Used_REPACKAGED
C593A07792DE2DBAEBD67456B0000F8D4E530BABCA033E3D19B9F7D3E6F1FECD,BE0918BD138ADB8F790B4BA6A7B286A08536422125B0D93B39FB1BCCE211575D,0.0,1.0,"[1,9,4,10,2,11]",[],"[1, 9, 4, 10, 2, 11]"
C5B05C8D9D55795B491D1168D19E75D40BD698D7B6A190C2B6B280F739459C17,6B03CCB1BA733E93A19EF56123EAEC0F07211C3D80D9227EBD23B47377D34581,0.0,1.0,[3],[],[3]
C6A320612A0151A1C0596142DA899BA52CCFD4168DCC2F87F12182BA6DED07BB,4E097AB4EF1882A2C2BE43E713B0E861BCBD214415274DF1ACF92134BE0FFBFE,0.0,1.0,[3],[],[3]
C6A320612A0151A1C0596142DA899BA52CCFD4168DCC2F87F12182BA6DED07BB,4EF2E0A393C129533C559CCA99395212AB97A80E2F3A33742D4EFA08B2BFFD3A,0.0,1.0,[3],[],[3]
C6A320612A0151A1C0596142DA899BA52CCFD4168DCC2F87F12182BA6DED07BB,E0777D31A96FC413E778768B20E068FB29E73DEDDF8CCB4C02F14191F369D638,0.0,1.0,[3],[],[3]
C6A320612A0151A1C0596142DA899BA52CCFD4168DCC2F87F12182BA6DED07BB,FF93EA48CE01DECF4C6BC6D8722D9F321F9BD5A38789CCE392DD81385B01B1B9,0.0,1.0,[3],[],[3]
C83ECD4FCEDE19528BFBFEA482FA7989B4F47997024BAD08D54401FC714565F9,DF7ADC7336AC29BAA10716E9158ACE74BE9F079A7B74FFBB6F8CAF96FD8D6026,1.0,0.0,[],[1],[1]
C9FF1E07F7204E04B89800B1D1B8B2677ADE20A45E105A717F1371CAF952B193,1A4B14F8F15647A9979FDB49FCF3A6AD3C1C1CA52F8A5AC6BE1B2BF72511170B,1.0,0.0,[],"[1, 2]","[1, 2]"
CB29ECB8FD2BC59F953E6E67D0329B2A4EFB70E03FAFCA8C44245FE003AA9B8E,0066D26EAAB62244DFC4749912C5C739ED5F4F15F40E154FD7FAF120F6A2AE46,1.0,0.0,[],"[1, 9, 4, 10, 2, 11]","[1, 9, 4, 10, 2, 11]"
CB29ECB8FD2BC59F953E6E67D0329B2A4EFB70E03FAFCA8C44245FE003AA9B8E,00D9FCA9D12050FF065CD07A5504F1C2CB47F9D5AABC85F675E750A358287D8A,1.0,0.0,[],"[1, 9, 4, 10, 2, 11]","[1, 9, 4, 10, 2, 11]"
