SHA256_ORIGINAL,SHA256_REPACKAGE,Jaccard_Similarity,Repackaged_Apps_Have_More,Difference,Sensor_Used_ORIGINAL,Sensor_Used_REPACKAGED
83B73722977B9469759731AEFC3E44798EE61458E934A863724E191801ADC788,FCEDB2DA5C0ED860CB58AF8A43D76E26518258B1D2B4CA29296B936016632897,1.0,0.0,[],[1],[1]
83FBD889BA7E54AA6179246B5A042F7586CC8A92590EC51D5FCC2A8FA2CE18BB,20BA40D812F1BB0328D85756E4CC458619736B45C37DA76D9D34165620A387E9,1.0,0.0,[],[1],[1]
83FBD889BA7E54AA6179246B5A042F7586CC8A92590EC51D5FCC2A8FA2CE18BB,4051B46225086E6DBD4BC7587D0FB9DE644D542D895DFE89C9F68138F22A2E47,1.0,0.0,[],[1],[1]
83FBD889BA7E54AA6179246B5A042F7586CC8A92590EC51D5FCC2A8FA2CE18BB,AF48B8459D20B652C0970FFFB13D126247A72F43CD6D175E9ED4B06A87154BAE,1.0,0.0,[],[1],[1]
845548B142474B567AE8867A0FAF4FA627719BF7431C1D1AAEE8D401696C37F4,7D1A106DA0A07395814CBBAD868CB7476932A6D6A549ADFB7F2A5EFFA76ECDC7,1.0,0.0,[],"[1, 9, 4, 10, 2, 11]","[1, 9, 4, 10, 2, 11]"
845548B142474B567AE8867A0FAF4FA627719BF7431C1D1AAEE8D401696C37F4,9C172B49D27FD199D176990A327A8AD869FCECDA3C08B626CBB2E4341D3AE33C,1.0,0.0,[],"[1, 9, 4, 10, 2, 11]","[1, 9, 4, 10, 2, 11]"
845548B142474B567AE8867A0FAF4FA627719BF7431C1D1AAEE8D401696C37F4,C52E9A70058C81925E447A3C714790420AB4735EF70D31376AC99C4B3166DC9C,1.0,0.0,[],"[1, 9, 4, 10, 2, 11]","[1, 9, 4, 10, 2, 11]"
84A823F03026F4FE050D4B777692583EE870249E891D30DF2381D937A31AF762,ABF95EB8D5C26C50E17F772B60754ED1B69852EC7565C51B0CBED685EA9AC58B,1.0,0.0,[],[1],[1]
84C83281F987607233B3185B193A4A628307E84137464531146110E1ED5811A1,9C5400C25EC296021BAF9F3FFC9C532518EFCEE547AA0FE9BBDDA756C51ECA33,1.0,0.0,[],[1],[1]
84C83281F987607233B3185B193A4A628307E84137464531146110E1ED5811A1,C7B435AA110AA027CD5D7D1FC7872C8E713B0AF35F255870F9B08DD3A4787B1E,1.0,0.0,[],[1],[1]
850A7CA75F7E473047E8C71E7BE735918A121F88AF502C68FE231D93BC20D27C,E842024913E3DFC65EAEADA8612184CBEF84E54E42CE95BFEB6F645DA675F8F9,0.16666666666666666,1.0,"[9,4,10,2,11]",[1],"[1, 9, 4, 10, 2, 11]"
85177E1074178AC3918A725BFC4626740F57C6C5D4C8A4602A8F63620A193D38,329ECE2E360B017182685CC4F152B8605A1732E4447651D7F2A3BE6CD55E8F5A,1.0,0.0,[],[5],[5]
8527B82807E56450B845E554FD39635B8B6B88C34BF6A486B347FF23EB2207F6,6E96C61AAFDC8369862B93D3D77795C9B69A462F1A73F152FAFC91BF7E3FA33D,1.0,0.0,[],"[1, 9, 4, 10, 2, 11]","[1, 9, 4, 10, 2, 11]"
8595BB2502B0B7D3153E84525AE7C0227952B4E3875C818C344EE6D9348DE121,2C6329A5294EF128811E0C1A16DFAF876144E198D1F43569392BFB5C34B94867,1.0,0.0,[],"[1, 9, 4, 10, 2, 11]","[1, 9, 4, 10, 2, 11]"
8595BB2502B0B7D3153E84525AE7C0227952B4E3875C818C344EE6D9348DE121,2D2E15AF33AC65F59F057DDFAD457274CF0B8D6E04B859079DA26D5D9401D29E,1.0,0.0,[],"[1, 9, 4, 10, 2, 11]","[1, 9, 4, 10, 2, 11]"
8595BB2502B0B7D3153E84525AE7C0227952B4E3875C818C344EE6D9348DE121,7FD277CE9C7A56466408627720CE8F5F233B86A3BC9E445A23BD635DD18D51F3,1.0,0.0,[],"[1, 9, 4, 10, 2, 11]","[1, 9, 4, 10, 2, 11]"
8595BB2502B0B7D3153E84525AE7C0227952B4E3875C818C344EE6D9348DE121,A7ED611E59DBE385961025388ACA0C3A4918ABDF72A5C676F6387ACDEB2DC6F0,1.0,0.0,[],"[1, 9, 4, 10, 2, 11]","[1, 9, 4, 10, 2, 11]"
8595BB2502B0B7D3153E84525AE7C0227952B4E3875C818C344EE6D9348DE121,AC86E5B6D480AD02A69392FF8D66E3605EA9F79D014CCC739D9DE840B24EBB32,1.0,0.0,[],"[1, 9, 4, 10, 2, 11]","[1, 9, 4, 10, 2, 11]"
8595BB2502B0B7D3153E84525AE7C0227952B4E3875C818C344EE6D9348DE121,CFBF3B6C1D41CF9B083626D551BD2BD2402A4B5F97F235C9CD0FDDB308D982D7,1.0,0.0,[],"[1, 9, 4, 10, 2, 11]","[1, 9, 4, 10, 2, 11]"
85EDA74F1E07E87C70872D3D9D5EBC1D640E41143563DB2D6867E83A4F65128B,60853F18187DB7B9B3889302CBA20164AF4175DADF63B909E1035C3CAB7D9B01,1.0,0.0,[],[1],[1]
85F3000E4DEE22C0D42A2DAEA794FEC5D7C8ED0541F0AD260397CE92072E08F3,68CA77C8668B391A7AB876F0FF8CC0A5341D9AAC97107E3EA3313573029A813E,1.0,0.0,[],[1],[1]
861D68D1AABEA5C5B19A123B5B4914CF2117032443AE09AD6BF93D85B6E88B91,33EA44A31666BFFA4E00B78D40D10D1641B6ECE56A9CCDE6A60BE138E1F6DC69,1.0,0.0,[],"[1, 9, 4, 10, 2, 11]","[1, 9, 4, 10, 2, 11]"
861D68D1AABEA5C5B19A123B5B4914CF2117032443AE09AD6BF93D85B6E88B91,5CEB35844D4406D316D2CB9C15C76B57F78170C0E5A353B1359C9BD760572512,1.0,0.0,[],"[1, 9, 4, 10, 2, 11]","[1, 9, 4, 10, 2, 11]"
861D68D1AABEA5C5B19A123B5B4914CF2117032443AE09AD6BF93D85B6E88B91,6BBE31C232CA49D6C27FDB08654B36C5F94EAB23E66B790BE1B8F63475696EC7,1.0,0.0,[],"[1, 9, 4, 10, 2, 11]","[1, 9, 4, 10, 2, 11]"
861D68D1AABEA5C5B19A123B5B4914CF2117032443AE09AD6BF93D85B6E88B91,B82BD24B2C07A04ECD05F834DAE341657D72095313168BC9A168EC23151B4977,1.0,0.0,[],"[1, 9, 4, 10, 2, 11]","[1, 9, 4, 10, 2, 11]"
861D68D1AABEA5C5B19A123B5B4914CF2117032443AE09AD6BF93D85B6E88B91,C2E39D5824B3300D6258C0F2DAB2A4E164E162B26BC257452B22BA006C6D9E02,1.0,0.0,[],"[1, 9, 4, 10, 2, 11]","[1, 9, 4, 10, 2, 11]"
861D68D1AABEA5C5B19A123B5B4914CF2117032443AE09AD6BF93D85B6E88B91,FFA7CF44F1E95C4E5CDEB080154117B4429735899FD9324893A1ECCEDD1DAAC9,1.0,0.0,[],"[1, 9, 4, 10, 2, 11]","[1, 9, 4, 10, 2, 11]"
862459C59D01664E76425A1D0421AEED755CAC8359C74EF88308A1B6C2F9B28F,CD622AE1011F0EEAF5CCC80B7AAA3C0A5C41FA618F5FDF91311E2A0F7F4A7C75,0.0,0.0,[1],[1],[]
86B216991F256C59D337E6A327CF5CAE0E1C2666142C3EB8D5721533736699F7,471DC719932C40C0621786197B3AC8E673B166B35458C76D210F07267C05BF87,1.0,0.0,[],[1],[1]
86B216991F256C59D337E6A327CF5CAE0E1C2666142C3EB8D5721533736699F7,E9719D5AE0B76B1BFF2E399037F8C038FF4B5ACA20272A7E231983FBBB7EDDC3,1.0,0.0,[],[1],[1]
86B216991F256C59D337E6A327CF5CAE0E1C2666142C3EB8D5721533736699F7,FF750992DB1EA93739CFB821C69B4F1C2FFFDCF4CF4C357A40BDC5DEE416B8B3,1.0,0.0,[],[1],[1]
86CCA8CE709BEA710324CF8854CB19E7478B664837EA1CFC1965C9DB305F4852,0A4CDB9A2EC92295E61853F94908E91AE9A04637D6F3015E6239A2076CBBC6B8,1.0,0.0,[],"[1, 2]","[1, 2]"
86CCA8CE709BEA710324CF8854CB19E7478B664837EA1CFC1965C9DB305F4852,0EE0D92BD7FC49A16165CD50D534B713B14583E655EF660F6ADC6C92118F9A3F,1.0,0.0,[],"[1, 2]","[1, 2]"
86CCA8CE709BEA710324CF8854CB19E7478B664837EA1CFC1965C9DB305F4852,0FB72EFD3BE9199183E6E44E2E00FF8523029A8D778313F2EAF32F886310EBC6,1.0,0.0,[],"[1, 2]","[1, 2]"
86CCA8CE709BEA710324CF8854CB19E7478B664837EA1CFC1965C9DB305F4852,1F22B982A7A73F66413100550DD2C8E1F5AD295716ED4DF43E92F40BB09973E3,1.0,0.0,[],"[1, 2]","[1, 2]"
86CCA8CE709BEA710324CF8854CB19E7478B664837EA1CFC1965C9DB305F4852,4DEE3DD242609F8068C5A2454DE1818C4620A213F8BAF9AC290FFF13E9AB8D0D,1.0,0.0,[],"[1, 2]","[1, 2]"
86CCA8CE709BEA710324CF8854CB19E7478B664837EA1CFC1965C9DB305F4852,58CCF5ED936411FA3F54AADEE89678CDD9356BFE9B5E3ED67620B04ED86ACA2A,1.0,0.0,[],"[1, 2]","[1, 2]"
86CCA8CE709BEA710324CF8854CB19E7478B664837EA1CFC1965C9DB305F4852,58D35302C9815C3489A93094BCBC340408DA50B668CC91E8A007A0156CF6A29A,1.0,0.0,[],"[1, 2]","[1, 2]"
86CCA8CE709BEA710324CF8854CB19E7478B664837EA1CFC1965C9DB305F4852,6C7020C906F499BEEBE25C55317B78FC6268470FDDE8F310285A832FCF437FC7,1.0,0.0,[],"[1, 2]","[1, 2]"
86CCA8CE709BEA710324CF8854CB19E7478B664837EA1CFC1965C9DB305F4852,7B39E9F2B97FE98F4C1679D83B20D129C235ADBB36BF3553F2D51ECDE3FB301B,1.0,0.0,[],"[1, 2]","[1, 2]"
86CCA8CE709BEA710324CF8854CB19E7478B664837EA1CFC1965C9DB305F4852,86D57AF1311E777A704CAC498E18B8391DB55142CC7E1F281BA885309876ED72,1.0,0.0,[],"[1, 2]","[1, 2]"
