SHA256,Category,accelerometer,accelerometer_uncalibrated,ambient_temperature,device_private_base,game_rotation_vector,geomagnetic_rotation_vector,gravity,gyroscope,gyroscope_uncalibrated,heart_beat,heart_rate,hinge_angle,light,linear_acceleration,low_latency_offbody_detect,magnetic_field,magnetic_field_uncalibrated,motion_detect,orientation,pose_6dof,pressure,proximity,relative_humidity,rotation_vector,significant_motion,stationary_detect,step_counter,step_detector,temperature
68F810FAF817DF3525EEF6C0790BDE3EA3D20236C1C020DDC8CBF92239C33EDF,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8C7955EAE47F5A792500C5EBF4BE14793C161ACEF10ACA074743737CFA903A9F,Malware,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AE4BC99E5AA38377D1644ADD633D382F4E943277242BAD9DF8553E8E0105D710,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0559CCD4E471D630B57E0D5891EA8CF3D1F3893210D651F1F1EC88E7A96ADB4,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C7B893F0823FDBCE7C4C92CDA7C7D88B1F35AB7F058BF5A342B077C989935AA2,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4BEEA4D6F2BC824D8242C400610CFBF1259AEBC7F4A0061B607DD369771A4496,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6D2936A889B9D72C9D94994BE21B60BE38E7908645E3E1B671035D72A1274383,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69BA905F5E8F9F7521CEFA42F4B6F9B9674D4AA08D1421D177D51E2CDB38B597,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B42BCFC2FB31A815E83114FC90A7707C6E2269296A3AF287100B4D4C4C6E16E8,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8E6E48F307B915CA86E2192D2E032BE67208767744B055B875AA0A5B0C496D80,Malware,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
BE24C5311C6FC81DE9A8E59E4BD5CDCA2A4552E6EF5A1E33176F3917A8A23D77,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD58C61BD9815CA857AF495DBA0554677BC34DEF1525A26952A972FD3A1AE2C6,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F24411DB42EF1B5C73A5DA1A2C2CB979775C9773E602FFB0C2CC56158BF6E69C,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26C393D666F061EA872E11A9352DD822FCB000381C7AB42D4A7D6E9DAAD016FC,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490D4427C4B7F3146BCBD91C17F3586359B5E94B43550143504DCF0EEB467CCB,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D4A48DEBC9CFC7202A6384182F20B541B04AA7467ACE44B88CC56FA5BCCD0742,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78254C50E5E0A30564BEE35558F7D4871D680AD8D654D2BDAB905FD14C9AFE85,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F3E3A9106907A018B9A4B38EA2B39BCDF9CF177D739EA5748FE32055F6C883B0,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F72BAEF70820C7AE90B605D0C70C9144C54DA39690929EE05434CBCA32D027F1,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EAD4ABB72E2228CD1F24630FAE4F91BE0F262B77227259F74FA3FAD67C129365,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
856E05111D8D1725019C34D916E624AF2E753E7A034115A81BBE91E3507EDB64,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F5F95531B1D973677B14F43292F5BF38C472DD7D29509E6BD2B22E3AA504F316,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F4BB133562B767BB8D52CEAC05F0BCCE534F5DACCF95608E5D2CDC5E8621CA73,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13145DB479395C7C3491184C08CE4C9AA6C43A0ED835C46308EC50175E3766FF,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BD788D4DCD550043546F402D45ED11212B195E85960D5D4043FA5FEE789CA721,Malware,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB683916188D024759404581BBCA9E1080A3BC71CBC8C33DA8572EBB3986059C,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E56F1AD8DF51A7E5C1E0913F144CB46AE5CAD58FB4EA64E74BB218C228EE7A1F,Malware,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36DB814B3853C4C9643D17781411C04FFCE7AC932A31461FCE2221A8AE8C5D98,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8E623CE8D4956F021A11EB2F3ADB32D3104511F75CE673D3B51A0BF1BA5E3056,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA0FADDDE4B2CB3D8B3A971D629829BE7905D593E327CE72DA39ADF677EBF1D0,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19630B871D86B8B933CF26195DB928132A1FAE69AF6AF8CAC021A6EE50ADF0D6,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D24098B98F30388EE0A3A3A35FA1302262BDC2C7D7F50BAE5FD34CD6248968E9,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC7A3E1439A8F37DEF42A7F401724F8DB8A7D62819C45999DFAC8669AA04003C,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B503F0DE95883364F4A480FAEC982074DBA6A4310B2C50006A2B031E1EE687FA,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFF64A27EF7C9039992DAC2C797B0E92F358E9D6B3666E9D472ABF0C19731AD2,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35A787AF79636007342D43B3ACC8C9459EB6999ADED6BBACC70897D9B5576568,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD344A2F4454ECFDE586D774643434F0F067DE9D101429496EE60ADC366BAEBF,Malware,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FDF0C4514BE336AFFEF81AAB6F481049A7C8524700400F3B7FEE2A9E6A9D4EE4,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F90512FF22996E6E9E784240CDFD55E4D431E2F047EBBF6ADE774E1E114D309D,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9D392F11BB636F81AAFA38DF36F57DFEC3111493CE107F4A8117E6A7EB464CDB,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81A87215A214260DDD47CB356F3BF97B78963D1DE491411F71DD2654B9007E2B,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DA75396C50CE7D4F138BA151BC0377B0D17AAD9DD78C62E8917ECBE1956B2CF8,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
771474CDF01F3C7592CCED646C8FE9DD046AE616ED6669D659FFC744943F24A2,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E9CC760225BD2FD6EA293245D2C6EE8F294EA763F0E354D53F320C4287ADE436,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47FEA4033DF055B48A03B1F2C3872C07A43A5FF6FDD4C7E682E8CA6605C5D02A,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D8AF711E381423AC059AA3522471629FAC48B58429444040D4C968244E6CE836,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7BAC861CBC25B8B131B4EE3CE43B9C1456EA15FF6CAAB7FD39342E8E89A97493,Malware,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51994EA1D36997B5B3A517214FD81BDB7B6495BC3603A66C6D953FE1307A11F2,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
733A656006769436AC02F1298E493F8F7A416DFC89FAE1EA7A4F78C6B7CFFB53,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FD5FA263304F5314CC753AC9EFD7F26BDE0F84413B21589AE326DFCBA6F82D8C,Malware,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
C1B8BD1797AF87EC918B5357474E7756DFE80AB9780B0651204DA0E9C3A21BFF,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C631753A99BDA5A255722BA2F28DC4EF3D739F5378A31CC1A1547146878ED326,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6737D3A7F99413399F1FC876A1688E956CBDD5B6F95D7F8EE2BF7FF584207E59,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F98A6E3DF42417260318E8930D242EA4E24A79D4A1097595F041C6C2A3C29185,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BAC2657E8B702CD6360EE7B94019C56DF49AD8AB1FD1FB369F586A8E87C20BB,Malware,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
