SHA256,Category,accelerometer,accelerometer_uncalibrated,ambient_temperature,device_private_base,game_rotation_vector,geomagnetic_rotation_vector,gravity,gyroscope,gyroscope_uncalibrated,heart_beat,heart_rate,hinge_angle,light,linear_acceleration,low_latency_offbody_detect,magnetic_field,magnetic_field_uncalibrated,motion_detect,orientation,pose_6dof,pressure,proximity,relative_humidity,rotation_vector,significant_motion,stationary_detect,step_counter,step_detector,temperature
deeee11b92083d63eaffc384693c712b9010aea4ad29e090327fb45b9e4df004,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6f7bb2dfbad691d37f48ff8baaa6ffeeff038fb749c36683373474844bb0b77b,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7d26450da5a70c9f966badd0633ff8670735a33b1bbe46405dfaa399151b18c2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8f97537e76b9f10f75fa1be45623dcbe8baafab35ddbb15681cc6612a9bf4fa2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87f256a414a3f91e81cc135915375426d92397f81d34b6456a25233c4b582126,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dcb0a80e0030f765432fe31b53304ac586579bb4ada221fdd1dbb2477198b4a3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44c291e08bf43e94c12f7625f81588ccafa8617f736d1c2ff9c2984ceb4f07b9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4d37de097a45a7776a0e50197f3ee3a8c425c5fb2e7029ba311b659d30c7295e,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cb22501b2b5de02eda970a2a8ddf3a6ab839d3380907cb359409bf04acf985cd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17838c6053c879f64151754d2dddefffb9fc06a8aa9d07bb35540317449e852a,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17d7f66cc2cef763bd4e97d0cfca07f0df73cfc68d052782f31ca36e30e89628,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34caeb19c3cc7add221e2060d0411586e352c4b9102dfc60f493c076451a077c,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e88bdf2be7d8bf23a965d927b877a8210dd176207177ce8b30b23bdabb89e450,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1fc7dc653fea7bf5190d902fc10d0993a6e06f2c22494d5e9a362792c4b714e,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
