SHA256,Category,accelerometer,accelerometer_uncalibrated,ambient_temperature,device_private_base,game_rotation_vector,geomagnetic_rotation_vector,gravity,gyroscope,gyroscope_uncalibrated,heart_beat,heart_rate,hinge_angle,light,linear_acceleration,low_latency_offbody_detect,magnetic_field,magnetic_field_uncalibrated,motion_detect,orientation,pose_6dof,pressure,proximity,relative_humidity,rotation_vector,significant_motion,stationary_detect,step_counter,step_detector,temperature,author
6CD0F61EF4116065590F584B2AED895BFBAB4F20493101E7ACCC121C33D63433,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61:ED:37:7E:85:D3:86:A8:DF:EE:6B:86:4B:D8:5B:0B:FA:A5:AF:81
444047B4B012A13B9E612D20D916A84A64F481FF194BBD0AA9D87DA58DF2735A,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43:FF:AD:4D:F1:41:BF:AF:A4:59:FF:15:B7:4F:64:50:9B:B1:EA:9A
EA5FBEE77ACF14C5E3328531E87590C177F855D89552F424836D6244361AFCB2,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7C:86:A0:2E:0A:BC:A0:0E:38:05:84:9E:F9:95:37:D4:22:40:D2:B4
2776F89AC4C6D195A66C6D265C18B99B7A161DD0FA07727B4380210E966A8D26,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4E:69:53:8E:72:98:A3:CA:A7:81:D9:1D:6D:2B:BF:D6:0B:3B:76:B6
6EAA1827DF3A561A54542AE99072284D373AD49CADEF4C0014156856B373E530,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73:92:16:41:31:FE:5F:6B:A2:8E:3A:71:44:E8:10:02:E6:33:64:6C
74C2B1F7DC7A7CD81612370E8F8D69696B10CAF585F2B74CA2837A5B8F33D84E,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A7:80:C5:42:93:95:57:4E:BC:9D:CD:73:0C:72:B2:38:E9:2A:FE:A6
E7FC347AD3F6F90E2CCABBEA56DE3D3A718A01A7E1AC959714A1DCA5E3AFD9CA,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61:ED:37:7E:85:D3:86:A8:DF:EE:6B:86:4B:D8:5B:0B:FA:A5:AF:81
D5558431DC2300967564F701F3EF72623E3667F51390D6832F31C37CD730DD43,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E4:58:78:26:B7:8E:1E:A1:32:4E:86:FD:23:48:91:01:67:54:C8:56
C44425EC781CAFCBF79ABA20654F3BE8C2166368CA5B76AB3D013B1853D564BC,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F0:F3:EB:DA:D4:9B:7D:5F:8D:87:EB:41:A3:AE:B2:E7:79:04:E6:DE
382783DFC70EA7742CF1399B72962D18C85D88B08FCE25CDFC5D66E95F34EFB4,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95:8E:70:DE:9E:AC:F6:A7:7E:05:2B:90:57:19:75:B8:D6:09:6E:4A
7C4F286117947FDCE1662E13BEA2F971A9F618197D7AEC88DB79256E01379158,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A8:D3:32:E8:7C:1C:B3:BA:61:6A:4B:99:2A:39:E0:64:3C:B2:7B:43
779F4ADE92164A1D5ACD24CA867436079B5966F0EE78DF9BCFAD5286CB9838C5,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28:EA:C3:21:D5:48:B4:24:7D:9C:84:81:0C:06:56:EC:94:26:71:6B
C0347C31037981C85F50916EC22763DB09964C3FF5B0F7641188D0C846FDBD77,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28:EA:C3:21:D5:48:B4:24:7D:9C:84:81:0C:06:56:EC:94:26:71:6B
8B52C78F61770F04E6C639FC4D8D373D787C3DDA8EF866EBE073B4F48DDBE1CB,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FB:9E:DF:E1:61:6E:DC:04:67:70:85:F2:F6:6B:1A:8A:B7:51:D5:7C
421AE1114E0599600781639298D2182C86CE34D76CCB6758EFA9077CB9E8090D,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61:ED:37:7E:85:D3:86:A8:DF:EE:6B:86:4B:D8:5B:0B:FA:A5:AF:81
C6EA7C5CF8D5C6AB4CDD0EF67B2F28BEFE6E84C9F22AB409953DCDCCF36FF2D9,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72:20:13:55:D0:4F:AE:FA:FA:27:94:15:1D:DC:40:64:73:AB:7A:CB
35EF04780139C67F01400A23E9D2DE8A2DF12BE983B128C71477F189A47C44DE,Malware,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67:4B:49:2F:8B:C9:9B:79:0E:30:F9:2A:28:95:ED:75:73:1E:BC:9D
B15236115DE1C500F5C0DAFCB1B564AAD4949DE7BBE074B5B0EEACF3532E6944,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57:C5:0F:5C:D1:C9:24:A4:FA:77:C4:8F:DF:E7:D2:75:10:84:8B:08
DA77E570E4C52AA6E8B173B89772D8052F183B7CDB5188F1764945C01CC58FB1,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8B:1A:0F:2E:C1:FB:9F:BA:55:7D:3E:D9:D6:96:F3:0D:BB:5D:27:DB
4ECD522B0772C9246CE4DCBBD12EBF1108A5185FDC1E271632BABDFF6FB9A027,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28:EA:C3:21:D5:48:B4:24:7D:9C:84:81:0C:06:56:EC:94:26:71:6B
B000B2E2FB0A1716EBCD27199343422360A660B3167E8A9D69B42194CB5938FC,Malware,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89:BA:1C:BA:97:2D:14:81:B4:01:DF:6A:F7:20:FE:28:E7:FF:2C:37
7904DA7DFF71D3DB1AF0CBAEB36EF9096E010364C06BF569670EE0BD3DD960D0,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23:9C:03:CC:91:1B:0D:55:89:9B:5E:BF:99:0B:91:18:DF:AB:14:E1
