SHA256,Category,accelerometer,accelerometer_uncalibrated,ambient_temperature,device_private_base,game_rotation_vector,geomagnetic_rotation_vector,gravity,gyroscope,gyroscope_uncalibrated,heart_beat,heart_rate,hinge_angle,light,linear_acceleration,low_latency_offbody_detect,magnetic_field,magnetic_field_uncalibrated,motion_detect,orientation,pose_6dof,pressure,proximity,relative_humidity,rotation_vector,significant_motion,stationary_detect,step_counter,step_detector,temperature,author
68F810FAF817DF3525EEF6C0790BDE3EA3D20236C1C020DDC8CBF92239C33EDF,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46:33:6A:0A:78:1D:04:C4:DA:C4:1F:7A:04:48:FE:08:C6:99:F0:00
8C7955EAE47F5A792500C5EBF4BE14793C161ACEF10ACA074743737CFA903A9F,Malware,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,69:95:12:C8:B4:9E:7A:01:A6:22:BD:25:05:44:E0:9A:80:A4:2D:55
AE4BC99E5AA38377D1644ADD633D382F4E943277242BAD9DF8553E8E0105D710,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61:ED:37:7E:85:D3:86:A8:DF:EE:6B:86:4B:D8:5B:0B:FA:A5:AF:81
B0559CCD4E471D630B57E0D5891EA8CF3D1F3893210D651F1F1EC88E7A96ADB4,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C8:16:58:71:AD:8D:16:EC:25:20:0B:70:54:01:9A:10:6E:27:AA:44
C7B893F0823FDBCE7C4C92CDA7C7D88B1F35AB7F058BF5A342B077C989935AA2,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71:65:A6:79:26:B5:DA:77:DF:45:16:F6:45:9D:04:C6:63:1A:5B:3C
4BEEA4D6F2BC824D8242C400610CFBF1259AEBC7F4A0061B607DD369771A4496,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23:EE:04:58:E8:4A:F4:EE:D7:05:3D:81:8F:BC:9B:6C:82:EC:D9:3C
6D2936A889B9D72C9D94994BE21B60BE38E7908645E3E1B671035D72A1274383,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88:20:94:F5:17:90:08:C9:62:09:75:04:E6:40:6D:F7:6A:2E:07:5E
69BA905F5E8F9F7521CEFA42F4B6F9B9674D4AA08D1421D177D51E2CDB38B597,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B2:57:0C:8E:4C:58:FE:9C:90:1B:14:69:4C:E4:A5:BF:9C:2D:5C:7E
B42BCFC2FB31A815E83114FC90A7707C6E2269296A3AF287100B4D4C4C6E16E8,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22:D0:D9:59:C1:DD:82:6B:C8:E0:DC:66:7C:35:AB:05:3B:FE:D8:61
8E6E48F307B915CA86E2192D2E032BE67208767744B055B875AA0A5B0C496D80,Malware,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,67:2C:7E:09:D7:97:1F:EF:F9:24:CB:9B:B9:DF:50:1B:06:86:99:D2
