SHA256,Category,accelerometer,accelerometer_uncalibrated,ambient_temperature,device_private_base,game_rotation_vector,geomagnetic_rotation_vector,gravity,gyroscope,gyroscope_uncalibrated,heart_beat,heart_rate,hinge_angle,light,linear_acceleration,low_latency_offbody_detect,magnetic_field,magnetic_field_uncalibrated,motion_detect,orientation,pose_6dof,pressure,proximity,relative_humidity,rotation_vector,significant_motion,stationary_detect,step_counter,step_detector,temperature
FFBC4E8CB3B7A0D59870CCEFA47C12892A45447B34A19E35F5B074E531589EC7,Repackaged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FE5CF9D1F73BE6C0DF83F8D3B0D6898C0B9961E3812137452F4ED74C7765BBE8,Repackaged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDD858DADC0A1A9587EC8BCEF41FA748265F8BEF8F1792346C7C6C8772B497E5,Repackaged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
060074D608C94418DD78A224BB7537EC79FEC08A010A816E39FB3086304D53C5,Repackaged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0FB72EFD3BE9199183E6E44E2E00FF8523029A8D778313F2EAF32F886310EBC6,Repackaged,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9CF6C72F6F288F6678D2BD3EE7A7CCA78DF60E74096DE6710845333F9256D41D,Original,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FB660972F632EBC27C57A89BCFA77AA2339594A181DACD4C4A76999B0393CEBC,Repackaged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18CDCB376848D6D7175644C2807126BEE7EDF70BBF06DF6CB197EB6316779D30,Repackaged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5920DD414A2B3D56B5B965902C5FAB17674BDBAA19C65AF9743EB9DECB1D88C,Repackaged,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8FC44747E89445E0AC772417F62DC552553C0B38785A4BD77CA1DA06F5CA7E4F,Original,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65056B9FEB18321423AC405AE26CC6AB733860DDFEF23F8F6D2FA631EC430236,Repackaged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8CCADE34AA9D179F7D916B00739A754ED6640F74178366019EA581108145B016,Repackaged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9782B23E471AB07A8724B1CC471AAAF8EEEA231AF87E2B02DB08586DE5E62BC0,Repackaged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C81D4B1DB9976DF8F689BA2A4CF3F0DC99E5761BDBD924167BD653DE39E562FC,Repackaged,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
