SHA256,Repackaged,Accelerometer,Accelerometer_uncalibrated,Ambient_temperature,Game_rotation_vector,Geomagnetic_rotation_vector,Glance_gesture,Gravity,Gyroscope,Gyroscope_uncalibrated,Heart_rate,Hinge_angle,Light,Linear_acceleration,Magnetic_field_sensor,Magnetic_field_uncalibrated,Orientation,Relative_humidity,Pick_up_gesture,Proximity,Pressure,Rotation_vector,Significant_motion,Step_counter,Step_detector,Tilt_detector,Wake_up_gesture
AD1FC0D7D0E0A5FADB5344C5EDB2874ECC59C091681E519E8EA4E47032C49332,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD369A8D6EE67F5CE29F462A0BF54B3E5C63B359B587D3705676BF6BA5537467,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD96B5F775016781EEC667CDD17C50C4C2296F1A2AA469C08730F611A6EAE5F2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD9FB0E43CEEC5F130B75D2CEAF296D71727126B2E1CC8E2155B791B8DA3CF78,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADA73B0CCC3BE1E680C3196DD6671C6E8D83102043DEC82E4018DA8546EFE11D,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB4A2B0F9ADC025FD2EC8C9C4A4DFD5BBF6D97B8035D86F71CDB0128C6205F0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADC5E7803CBD9D81A401F37A26386B269C4D376FDE0FFC117F27D099AB6ED717,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADDE92674739D8B96680BFB9E6810844135F0B2C98D54EBABEFC8CB1C0A2ADDB,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADE0592E257849DA7E3C84FC067B6598CF23924D4A813D7287AD79564962C967,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADE3F9F34AB78453B372C9561F7E07E6FAAB653FBD5B69C83D8AEF5759A011BD,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADF1BB42EF22F145E18D24EF8C293149FC02FB30050059B17307134566408569,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AE064DED6254AD4803F55E441B871038AC7234CBEBCB7E6E24AAA466809438A2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AE25CFD997B7693A107573A04D63AE5CAB1DE03E705C286EF4995B0E86F57BD2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AE2AEFB338B1454F77F32301676697C40AF7AAC09BBD33E1411F9CEF1E52C690,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AE45A87E9528AB59E2D3A22F8BEF06722BD33A23D8D88AB24F880382F030F92B,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AE5683EF8BB5CE76685FB6B1DD4AC6FF9141769860CDB1245FDC28CFA27E7D26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AE5B1D9562DD831C0326600484EB539D920C835E63272A77ECD91218FD16000F,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AE5F402A1C7BF2FB44FA7E1A6D9E679C0CCFBC3C6A669278A256A3DFB4B8CC0C,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AE69D211ED9C7A6075862BEA45DEA4BB143CA8BDB65112EAA49957A05D5CDF68,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AE897091375B3102A7700455D24F73514BCF6359EED3BAD32553CF8D6A598A48,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEF46F94D3D8B4FF75EDE035AD26D6577966DE6A82B40A0C4A060BA3ACC56277,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF0CF46C301B0311F0ED35B6F428E03C3F23CA3CC37E9E16E38FE802BE11E2F7,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
